anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2009,C,C,Rev.4,4,EAE_C1_2009.xls,18,18,18,division_2_digitos,si,Actividades de impresión y reproducción de grabaciones.,3205333963.3870378,,1413844927.4818304,,765614554.7289366,2700.020101147829
2009,C,C,Rev.4,4,EAE_C1_2009.xls,19,19,19,division_2_digitos,si,Fabricación de coque y de productos de la refinación del petróleo.,37059614882.0,,12175111279.0,,1505218063.0,1683.0
2009,C,C,Rev.4,4,EAE_C1_2009.xls,20,20,20,division_2_digitos,si,Fabricación de sustancias y productos químicos.,13901793495.850307,,4122524995.142816,,1708656861.8260539,3938.585990612341
2009,C,C,Rev.4,4,EAE_C1_2009.xls,21,21,21,division_2_digitos,si,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",7251946194.951316,,3246857371.638579,,1747691402.563617,3468.097214225454
2009,C,C,Rev.4,4,EAE_C1_2009.xls,22,22,22,division_2_digitos,si,Fabricación de productos de caucho y plástico.,9321148800.165012,,2345083374.3595486,,1280680398.8424459,4802.447070841161
2009,C,C,Rev.4,4,EAE_C1_2009.xls,23,23,23,division_2_digitos,si,Fabricación de otros productos minerales no metálicos.,5103111157.433458,,1612282153.956868,,1185068982.9111109,3555.1313735586423
2009,C,C,Rev.4,4,EAE_C1_2009.xls,24,24,24,division_2_digitos,si,Fabricación de metales comunes.,4280585167.618893,,1223653870.283217,,515412952.3380857,1368.0940194543464
2009,C,C,Rev.4,4,EAE_C1_2009.xls,25,25,25,division_2_digitos,si,"Fabricación de productos derivados del metal, excepto maquinaria y equipo.",6068843891.04635,,2239091141.535811,,1279154385.8447657,4332.93424999243
2009,C,C,Rev.4,4,EAE_C1_2009.xls,26,26,26,division_2_digitos,si,"Fabricación de los productos informáticos, electrónicos y ópticos.",390779528.45862687,,200452420.24074087,,128321768.60102352,313.61669409459273
2009,C,C,Rev.4,4,EAE_C1_2009.xls,27,27,27,division_2_digitos,si,Fabricación de equipo eléctrico.,1967215434.560709,,744353810.8512049,,428966150.5620695,1566.6445317902187
2009,C,C,Rev.4,4,EAE_C1_2009.xls,28,28,28,division_2_digitos,si,Fabricación de maquinaria y equipo n.c.p.,766158811.7712588,,271870165.1825177,,145081616.96024308,498.88368197816925
2009,C,C,Rev.4,4,EAE_C1_2009.xls,29,29,29,division_2_digitos,si,"Fabricación de vehículos automotores, remolques y semiremolques.",2592186699.6175036,,658845773.0094827,,348333810.59768116,1344.6908281254618
2009,C,C,Rev.4,4,EAE_C1_2009.xls,30,30,30,division_2_digitos,si,Fabricación de otros tipos de equipo de transporte.,645076230.6725041,,167536396.70545793,,87806831.41582973,179.94833939828115
2009,C,C,Rev.4,4,EAE_C1_2009.xls,31,31,31,division_2_digitos,si,Fabricación de muebles.,1464279865.5615418,,638986165.5813931,,309470222.70433295,1797.1157216858157
2009,C,C,Rev.4,4,EAE_C1_2009.xls,32,32,32,division_2_digitos,si,Otras industrias manufactureras.,999306025.2360293,,468720156.6625993,,278174497.0349087,1303.5825188185142
2009,C,C,Rev.4,4,EAE_C1_2009.xls,33,33,33,division_2_digitos,si,Reparación e instalación de la maquinaria y equipo.,1809040005.658787,,929846917.063959,,553508846.1898,1533.6970870561545
2010,C,C,Rev.4,4,EAE_C1_2010.xls,10,10,10,division_2_digitos,si,Elaboración de productos alimenticios.,120552010818.75528,,28998304068.85489,,12893820402.102415,49452.59367958053
2010,C,C,Rev.4,4,EAE_C1_2010.xls,11,11,11,division_2_digitos,si,Elaboración de bebidas.,14646942367.015223,,7027874910.062559,,1809118152.6507416,3461.4931476639904
2010,C,C,Rev.4,4,EAE_C1_2010.xls,12,12,12,division_2_digitos,si,Elaboración de productos de tabaco.,6590915280.0,,4979613097.0,,569843921.0,574.0
