fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,456.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,446.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,437.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,251.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,504.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,495.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,466.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,176.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,532.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,518.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2019,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,489.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,161.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,483.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,475.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,465.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,156.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,351.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,347.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,349.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,288.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,475.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,468.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,439.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,238.0,indice_2002_100
ciu,IMEQN69-1Trim2026.pdf,10,imeq,2020,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,546.0,indice_2002_100
